"id","Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)","Q2: How many ingredients would you expect this food item to contain?","Q3: In what setting would you expect this food to be served? Please check all that apply","Q4: How much would you expect to pay for one serving of this food item?","Q5: What movie do you think of when thinking of this food item?","Q6: What drink would you pair with this food item?","Q7: When you think about this food item, who does it remind you of?","Q8: How much hot sauce would you add to this food item?","Label"
"716549","3","6.0","Week day lunch,At a party,Late night snack","5.0","cloudy with a chance of meatballs","coke","Friends","A little (mild)","Pizza"
"715742","4","N/A","Week day lunch,At a party,Late night snack","5.0","all sort of american young boy movies","coke","Friends,Teachers,Strangers","N/A","Pizza"
"727333","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","10.0","action movie","cola","Friends","A moderate amount (medium)","Pizza"
"606874","4","6.5","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","3.0","mamma mia","soda","Siblings,Friends,Teachers","I will have some of this food item with my hot sauce","Pizza"
"505318","2","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","5.0","cloudy with a chance of meatballs","soda","Siblings,Friends","A little (mild)","Pizza"
"605771","4","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","15.0","N/A","soda","Siblings,Friends","N/A","Pizza"
"606929","3","34.0","Week day lunch","1.0","dragon","coke","Friends","N/A","Pizza"
"609789","4","4.5","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","20.0","rick and morty","coke","Friends","A moderate amount (medium)","Pizza"
"644623","3","5.0","Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","3.0","home alone","coca cola","N/A","N/A","Pizza"
"626792","3","9.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","4.0","cloudy with a chance of meatballs","coke","Parents,Siblings,Friends","A lot (hot)","Pizza"
"714863","3","10.0","Weekend dinner,At a party","20.0","none","regular coke","Friends","N/A","Pizza"
"602805","2","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","12.0","the big lebowski","ice tea","Parents,Friends","A little (mild)","Pizza"
"602526","3","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","6.0","spider man","lemonade","Parents,Siblings,Friends","N/A","Pizza"
"497421","4","4.0","Weekend lunch,Weekend dinner,At a party","30.0","cloudy with a chance of meatballs","coke","Friends","N/A","Pizza"
"389328","3","8.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","10.0","goodfellas","red wine","Siblings,Friends","A moderate amount (medium)","Pizza"
"289931","3","5.0","Weekend lunch,Weekend dinner,At a party,Late night snack","7.0","a goofy movie the disney movie","pop like coke","Friends","A little (mild)","Pizza"
"620148","2","7.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","5.0","dead silence","sprite","Friends,Strangers","A moderate amount (medium)","Pizza"
"387155","3","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","12.0","la la land","water","Parents,Siblings,Friends,Strangers","A little (mild)","Pizza"
"516975","2","21615.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","2.5","harry potter the philosophers stone","coke","Friends","N/A","Pizza"
"630825","3","6.0","Week day dinner,At a party","8.0","transformer","soup","Parents","N/A","Pizza"
"614043","5","10.0","Week day dinner,Weekend dinner,At a party,Late night snack","15.0","ninja turtles","coke","Siblings,Friends","N/A","Pizza"
"521125","4","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","3.0","high school musical","root beer","Parents,Siblings,Friends,Teachers","A little (mild)","Pizza"
"627780","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","8.0","despicable me","coke","Friends,Teachers","N/A","Pizza"
"492744","3","10.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","10.0","teenage mutant ninja turtles","soda","Parents,Friends","A little (mild)","Pizza"
"618747","2","N/A","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","320.0","toy story","soft drinks for example up","Friends","N/A","Pizza"
"607815","3","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","30.0","the godfather","coke","Friends,Teachers","A little (mild)","Pizza"
"601609","4","10.0","Weekend dinner,At a party","6.0","spiderman","diet coke","Friends","N/A","Pizza"
"602657","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","10.0","pizza","cola","Friends,Teachers","N/A","Pizza"
"616449","4","N/A","Week day lunch,Week day dinner,Weekend dinner,At a party","5.0","teenage mutant ninja turtles","sparkling water","Parents,Friends","A little (mild)","Pizza"
"501893","4","5.0","Weekend lunch,Weekend dinner,At a party","22.5","fast furious","coke","Siblings,Friends","N/A","Pizza"
"507448","3","N/A","Weekend dinner,At a party,Late night snack","20.0","teenage mutant ninja turtles","coke","Friends","A little (mild)","Pizza"
"606556","1","3.0","At a party","8.0","the garfield movie","cola","Teachers","A little (mild)","Pizza"
