"id","Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)","Q2 Cleaned","Q3: In what setting would you expect this food to be served? Please check all that apply","Q4 Cleaned","Q5 Cleaned","Q6 Cleaned","Q7: When you think about this food item, who does it remind you of?","Q8: How much hot sauce would you add to this food item?","Label"
"716549","3","6.0","Week day lunch,At a party,Late night snack","5.0","cloudy with a chance of meatballs","coca cola","Friends","A little (mild)","Pizza"
"715742","4","2.0","Week day lunch,At a party,Late night snack","5.0","N/A","coca cola","Friends,Teachers,Strangers","N/A","Pizza"
"727333","3","5.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","10.0","action movie","coca cola","Friends","A moderate amount (medium)","Pizza"
"606874","4","6.5","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","3.0","mamma mia","soda","Siblings,Friends,Teachers","I will have some of this food item with my hot sauce","Pizza"
"505318","2","3.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","5.0","cloudy with a chance of meatballs","soda","Siblings,Friends","A little (mild)","Pizza"
"605771","4","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","15.0","N/A","soda","Siblings,Friends","N/A","Pizza"
"606929","3","3.5","Week day lunch","1.0","dragon","coca cola","Friends","N/A","Pizza"
"609789","4","4.5","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","20.0","rick and morty","coca cola","Friends","A moderate amount (medium)","Pizza"
"644623","3","5.0","Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","3.0","home alone","coca cola","N/A","N/A","Pizza"
"626792","3","9.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","4.0","cloudy with a chance of meatballs","coca cola","Parents,Siblings,Friends","A lot (hot)","Pizza"
"714863","3","10.0","Weekend dinner,At a party","20.0","N/A","coca cola","Friends","N/A","Pizza"
"602805","2","6.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","12.0","the big lebowski","ice tea","Parents,Friends","A little (mild)","Pizza"
"602526","3","4.0","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","6.0","spiderman","lemonade","Parents,Siblings,Friends","N/A","Pizza"
