id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q2 Cleaned,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q4 Cleaned,Q5: What movie do you think of when thinking of this food item?,Q5 Cleaned,Q6: What drink would you pair with this food item?,Q6 Cleaned,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
716549,3,6,6,"Week day lunch,At a party,Late night snack",5,5,Cloudy with a Chance of Meatballs,cloudy with a chance of meatballs,Coke ,coca cola,Friends,A little (mild),Pizza
715742,4,"bread, meet",2,"Week day lunch,At a party,Late night snack",5$ for a large piece,5,All sort of american young boy movies,N/A,Coke,coca cola,"Friends,Teachers,Strangers",None,Pizza
727333,3,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10dollar,10,action movie,action movie,cola,coca cola,Friends,A moderate amount (medium),Pizza
606874,4,6-7,6-7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3,3,Mamma Mia,mamma mia,Soda,soda,"Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza
505318,2,3 or more,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5,5,Cloudy with a chance of meatballs,cloudy with a chance of meatballs,Soda,soda,"Siblings,Friends",A little (mild),Pizza
605771,4,6,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15,15,None,N/A,Soda,soda,"Siblings,Friends",None,Pizza
606929,3,about 3 or 4,3-4,Week day lunch,1,1,dragon,dragon,coke ,coca cola,Friends,None,Pizza
609789,4,4-5,4-5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20 dollar,20,Rick and Morty,rick and morty,coke,coca cola,Friends,A moderate amount (medium),Pizza
644623,3,5,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3 dollars,3,Home Alone,home alone,Coca Cola,coca cola,None,None,Pizza
626792,3,9,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,4,Cloudy with a chance of meatballs,cloudy with a chance of meatballs,Coke,coca cola,"Parents,Siblings,Friends",A lot (hot),Pizza
